Температура,Город,Широта,Долгота,Давление,Ощущение
9.10057707,Париж,2.3488,48.8534,1025,Нормально
8.929095256,Париж,2.3488,48.8534,1025,Нормально
8.75552954,Париж,2.3488,48.8534,1025,Нормально
8.579854597,Париж,2.3488,48.8534,1025,Нормально
8.402044794,Париж,2.3488,48.8534,1025,Нормально
8.222074188,Париж,2.3488,48.8534,1025,Нормально
8.039916521,Париж,2.3488,48.8534,1025,Нормально
7.855545214,Париж,2.3488,48.8534,1025,Нормально
7.668933366,Париж,2.3488,48.8534,1025,Холодно
7.480053751,Париж,2.3488,48.8534,1025,Холодно
7.288878809,Париж,2.3488,48.8534,1025,Холодно
7.095380646,Париж,2.3488,48.8534,1025,Холодно
6.899531031,Париж,2.3488,48.8534,1025,Холодно
6.701301387,Париж,2.3488,48.8534,1025,Холодно
6.500662791,Париж,2.3488,48.8534,1025,Холодно
6.29758597,Париж,2.3488,48.8534,1025,Холодно
6.092041293,Париж,2.3488,48.8534,1025,Холодно
5.88399877,Париж,2.3488,48.8534,1025,Холодно
5.673428046,Париж,2.3488,48.8534,1025,Холодно
5.460298397,Париж,2.3488,48.8534,1025,Холодно
26.12372063,Бангкок,100.5167,13.75,1010,Тепло
25.77688271,Бангкок,100.5167,13.75,1010,Тепло
25.42948535,Бангкок,100.5167,13.75,1010,Тепло
25.08152765,Бангкок,100.5167,13.75,1010,Тепло
24.7330087,Бангкок,100.5167,13.75,1010,Тепло
24.38392759,Бангкок,100.5167,13.75,1010,Тепло
24.03428342,Бангкок,100.5167,13.75,1010,Тепло
23.68407528,Бангкок,100.5167,13.75,1010,Тепло
23.33330226,Бангкок,100.5167,13.75,1010,Тепло
22.98196345,Бангкок,100.5167,13.75,1010,Тепло
22.63005794,Бангкок,100.5167,13.75,1010,Тепло
22.27758481,Бангкок,100.5167,13.75,1010,Тепло
21.92454315,Бангкок,100.5167,13.75,1010,Тепло
21.57093204,Бангкок,100.5167,13.75,1010,Тепло
21.21675056,Бангкок,100.5167,13.75,1010,Тепло
20.86199779,Бангкок,100.5167,13.75,1010,Тепло
20.50667281,Бангкок,100.5167,13.75,1010,Тепло
20.1507747,Бангкок,100.5167,13.75,1010,Тепло
19.79430253,Бангкок,100.5167,13.75,1010,Тепло
19.43725538,Бангкок,100.5167,13.75,1010,Нормально
8.144782161,Варшава,21.0118,52.2298,1029,Нормально
7.947469425,Варшава,21.0118,52.2298,1029,Нормально
7.748039311,Варшава,21.0118,52.2298,1029,Нормально
7.546469098,Варшава,21.0118,52.2298,1029,Нормально
7.342735819,Варшава,21.0118,52.2298,1029,Нормально
7.136816264,Варшава,21.0118,52.2298,1029,Нормально
6.928686971,Варшава,21.0118,52.2298,1029,Холодно
6.718324226,Варшава,21.0118,52.2298,1029,Холодно
6.505704064,Варшава,21.0118,52.2298,1029,Холодно
6.290802259,Варшава,21.0118,52.2298,1029,Холодно
6.073594326,Варшава,21.0118,52.2298,1029,Холодно
5.854055519,Варшава,21.0118,52.2298,1029,Холодно
5.632160825,Варшава,21.0118,52.2298,1029,Холодно
5.407884962,Варшава,21.0118,52.2298,1029,Холодно
5.181202378,Варшава,21.0118,52.2298,1029,Холодно
4.952087246,Варшава,21.0118,52.2298,1029,Холодно
4.720513463,Варшава,21.0118,52.2298,1029,Холодно
4.486454645,Варшава,21.0118,52.2298,1029,Холодно
4.249884123,Варшава,21.0118,52.2298,1029,Холодно
4.010774946,Варшава,21.0118,52.2298,1029,Холодно
8.137965029,Сиэтл,-122.3321,47.6062,1025,Нормально
7.836338735,Сиэтл,-122.3321,47.6062,1025,Нормально
7.535120564,Сиэтл,-122.3321,47.6062,1025,Нормально
7.234309965,Сиэтл,-122.3321,47.6062,1025,Нормально
6.933906386,Сиэтл,-122.3321,47.6062,1025,Холодно
6.633909276,Сиэтл,-122.3321,47.6062,1025,Холодно
6.334318085,Сиэтл,-122.3321,47.6062,1025,Холодно
6.035132264,Сиэтл,-122.3321,47.6062,1025,Холодно
5.736351265,Сиэтл,-122.3321,47.6062,1025,Холодно
5.437974539,Сиэтл,-122.3321,47.6062,1025,Холодно
5.14000154,Сиэтл,-122.3321,47.6062,1025,Холодно
4.842431722,Сиэтл,-122.3321,47.6062,1025,Холодно
4.545264538,Сиэтл,-122.3321,47.6062,1025,Холодно
4.248499445,Сиэтл,-122.3321,47.6062,1025,Холодно
3.952135897,Сиэтл,-122.3321,47.6062,1025,Холодно
3.656173352,Сиэтл,-122.3321,47.6062,1025,Холодно
3.360611268,Сиэтл,-122.3321,47.6062,1025,Холодно
3.065449102,Сиэтл,-122.3321,47.6062,1025,Холодно
2.770686313,Сиэтл,-122.3321,47.6062,1025,Холодно
2.47632236,Сиэтл,-122.3321,47.6062,1025,Холодно
